bot_question_id,question_title,cp_reveal_time,cp_post_id
29351,"Will it rain more than 200mm in Brasília, Brazil in December 2024?",2024-11-02 14:30:00+00,29077
,Will the US State Department approve more than 15 arms sales globally in the fourth quarter of 2024?,,29028
29353,Will the US State Department approve more than 20 arms sales globally in the fourth quarter of 2024?,2024-11-02 14:30:00+00,29028
29354,Will the US State Department approve more than 25 arms sales globally in the fourth quarter of 2024?,2024-11-02 14:30:00+00,29028
29355,Will there be a white Christmas in at least 4 of these 9 large European cities in 2024?,2024-11-02 14:30:00+00,28783
29356,Will Gukesh Dommaraju win the 2024 World Chess Championship?,2024-11-02 14:30:00+00,28546
29362,"Will there be greater than or equal to 3,900 emojis on December 31, 2024?",2024-11-02 14:30:00+00,8001
,"Will the XEC COVID-19 variant account for at least 50% of the variants monitored in the US before January 5, 2025?",,29145
,"Before January 5, 2025, will the KP lineage constitute less than 50% of the COVID-19 variants monitored in the US?",,29221
,"Will BirdCast report 1 billion birds flying over the United States at any point before December 1, 2025?
",,28704
29417,"Will Kamala Harris be president before January 1, 2025?",2024-11-05 15:30:00+00,5201
,"Will there be a culturally significant development in aging research before January 1, 2025?
",,3458
,"Will lab-grown complex vital organs be used successfully in humans before 2025?
",,6806
,"Will ""slaughterbots"" kill at least 50 people outside a military conflict by 2025?

",,11122
,"Will three or more Frontier AI Labs issue a joint statement committing to constrain their AI's capabilities before 2025?
",,17104
29461,"Will the weekly total number of influenza hospitalizations for the United States for the week of Nov 23, 2024 be more than 2,000?",2024-11-06 15:30:00+00,29507
29462,"Will the weekly total number of influenza hospitalizations for the United States for the week of Dec 7, 2024 be more than 2,000?",2024-11-06 15:30:00+00,29507
29463,"Will the CDC report more than 80% of the tested influenza sequences as influenza A during the 2024-25 season through the week ending Dec 21, 2024?",2024-11-06 15:30:00+00,29141
29503,"On December 31, 2024, will exactly 4 US states have Waymo's rider-only ride-hailing service available to the general public?
",2024-11-07 15:30:00+00,22017
30281,"On December 31, 2024, will exactly 4 US states have Waymo's rider-only ride-hailing service available to the general public?
",2024-11-27 15:30:00+00,22017
29506,"Will OpenAI's o1 remain the top LLM in all categories of Chatbot Arena on November 30, 2024?
",2024-11-07 15:30:00+00,28706
,"Will the US restrict access outside the US to some APIs to generative AI before 2025?
",,17100
,"Before December 1, 2024, will laws be in place requiring that AI systems that emulate humans must reveal to people that they are AI?
",,2788
29510,Will the International Criminal Court bring charges against Benjamin Netanyahu before 2025?,2024-11-07 15:30:00+00,19824
29511,Will armed conflicts between the Republic of China (Taiwan) and the People's Republic of China (PRC) lead to at least 100 deaths before 2025?,2024-11-07 15:30:00+00,7792
,Will there be major civil unrest or rioting in the US before 1 January 2025?,,29609
29566,Will China's youth unemployment rate be less than or equal to 17.0 for October 2024?,2024-11-08 15:30:00+00,27881
29567,Will China's youth unemployment rate be greater than 17.0 and less than or equal to 18.0 for October 2024?,2024-11-08 15:30:00+00,27881
29568,Will China's youth unemployment rate be greater than 18.0 and less than or equal to 19.0 for October 2024?,2024-11-08 15:30:00+00,27881
29569,Will China's youth unemployment rate be greater than 19.0 for October 2024?,2024-11-08 15:30:00+00,27881
29635,Will the 2024 World Chess Champion be decided in the first 10 games?,2024-11-09 15:30:00+00,28834
29636,"Will 0-3 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29637,"Will 4 or 5 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29638,"Will 6 or 7 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29639,"Will 8 or 9 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29640,"Will 10 or 11 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29641,"Will 12-15 U.S. federal executive department heads be announced by the incoming administration between the election and December 16, 2024?",2024-11-09 15:30:00+00,29524
29642,"Will Elon Musk’s net worth be less than or equal to the highest other net worth on the Forbes Real-Time Billionaires list as of January 1, 2025?",2024-11-09 15:30:00+00,29608
29643,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than zero and less than $40 billion as of January 1, 2025?",2024-11-09 15:30:00+00,29608
29644,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $40 billion and less than or equal to $70 billion as of January 1, 2025?",2024-11-09 15:30:00+00,29608
29645,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than $70 billion and less than $100 billion as of January 1, 2025?",2024-11-09 15:30:00+00,29608
29646,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $100 billion as of January 1, 2025?",2024-11-09 15:30:00+00,29608
,"Will Russia have significantly expanded its controlled territory in Ukraine on January 1, 2025?",,19724
29718,Will the new Prime Minister of Iceland belong to the Independence Party after the 2024 parliamentary elections?,2024-11-12 15:30:00+00,29807
29719,Will the new Prime Minister of Iceland belong to the Progressive Party after the 2024 parliamentary elections?,2024-11-12 15:30:00+00,29807
29720,Will the new Prime Minister of Iceland belong to the Left-Green Movement after the 2024 parliamentary elections?,2024-11-12 15:30:00+00,29807
29721,Will the new Prime Minister of Iceland belong to the Social Democratic Alliance after the 2024 parliamentary elections?,2024-11-12 15:30:00+00,29807
,"Will there be a large-scale armed conflict in Russia before January 1, 2025?
",,11589
,"Will a mouse be confirmed to have lived for 2,500 days before January 1, 2025?
",,1624
29725,"Will the world remain ""normal"" through 2024, according to the specified criteria?",2024-11-12 15:30:00+00,25801
29781,Will the S&P 500 index go up in December 2024?,2024-11-13 15:30:00+00,20694
,"Will the US sanction Venezuelan oil again by 2025?
",,20557
29835,"Will the Crimean Bridge be hit with an attack before January 1, 2025?",2024-11-14 15:30:00+00,27141
29836,Will China's youth unemployment rate be less than or equal to 17.0 for November 2024?,2024-11-14 15:30:00+00,27881
29837,Will China's youth unemployment rate be greater than 17.0 and less than or equal to 18.0 for November 2024?,2024-11-14 15:30:00+00,27881
29838,Will China's youth unemployment rate be greater than 18.0 and less than or equal to 19.0 for November 2024?,2024-11-14 15:30:00+00,27881
29839,Will China's youth unemployment rate be greater than 19.0 for November 2024?,2024-11-14 15:30:00+00,27881
,"Will a new nuclear-armed state emerge before January 1, 2025?",,15537
29915,"Before 2025, will OpenAI's commercial operations cease to be governed by its nonprofit board of directors?
",2024-11-15 15:30:00+00,20172
29916,"Will the United Nations have exactly 193 member states on December 31, 2024?",2024-11-15 15:30:00+00,26884
29917,"Will 1 Euro be worth less than 1 US Dollar before 2025?
",2024-11-15 15:30:00+00,21167
,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,,29900
29941,"Will the USDA's Center for Veterinary Biologics grant a license for a highly pathogenic avian influenza H5 vaccine in dairy cattle before January 1, 2025?",2024-11-16 15:30:00+00,29841
29942,"Will a country change its official name before Jan 1, 2025?",2024-11-16 15:30:00+00,29816
29943,Will the International Criminal Court issue any warrants in November or December 2024?,2024-11-16 15:30:00+00,29903
29944,Will Astro Bot win the Game of the Year 2024 award?,2024-11-16 15:30:00+00,29902
,"Will North Korea deploy military personnel to Ukraine before January 1, 2025?",,29901
29946,Will Red be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29947,Will Orange be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29948,Will Yellow be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29949,Will Green be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29950,Will Blue be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29951,Will Violet be the closest color to the 2025 Pantone Color of the Year?,2024-11-16 15:30:00+00,29847
29952,"Before January 1, 2025, will the International Criminal Court issue an arrest warrant for Benjamin Netanyahu?",2024-11-16 15:30:00+00,23018
29953,"Will the US enact export controls for some generative AI software before 2025?
",2024-11-16 15:30:00+00,17102
29954,"On December 31, 2024, will Cruise operate a rider-only ride-hailing service anywhere in the United States?

",2024-11-16 15:30:00+00,22046
,"Will a bilateral ceasefire be announced in the Ukraine war, before January 1, 2025?",,29709
,Will Planet Nine be discovered before 2025?,,5313
,"Will we detect an exoplanet atmosphere with >5% oxygen atmosphere before 2025?
",,1568
,"Will Joe Biden no longer be US President before January 1, 2025?

",,12217
30193,Will the domestic opening weekend box office revenue of Mufasa: The Lion King exceed that of Sonic the Hedgehog 3?,2024-11-23 15:30:00+00,30213
,Will Nvidia have the largest market cap in the world at the end of 2024?,,30297
,Will Ukraine use ATACMS to strike deep within Russia before 1 January 2025?,,30251
,"Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?",,30252
30197,Will Bluesky reach 30 million users before 1 January 2025?,2024-11-23 15:30:00+00,30295
,Will the Boeing Starliner Commercial Crew program make it to 2025 without being cancelled?,,27868
30248,Will Brazil ban the 6x1 work schedule before 1 January 2025?,2024-11-26 15:30:00+00,29956
,Will Elena Lasconi win the second round of the 2024 presidential election in Romania?,,30472
,Will Calin Georgescu win the second round of the 2024 presidential election in Romania?,,30472
30350,"Will marijuana still be listed as a US Schedule I controlled substance on December 31, 2024?",2024-11-30 15:30:00+00,20776
,"Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?",,30516
,"Will a ceasefire between Israel and Lebanon/Hezbollah be active on January 1, 2025?",,30476
30437,Will New Zealand report >375 whooping cough cases for weeks 51 and 52?,2024-12-04 15:30:00+00,30475
30438,Will New Zealand report greater than or equal to 275 and less than or equal to 375 whooping cough cases for weeks 51 and 52?,2024-12-04 15:30:00+00,30475
30439,Will New Zealand report <275 whooping cough cases for weeks 51 and 52?,2024-12-04 15:30:00+00,30475
30440,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than -4?",2024-12-04 15:30:00+00,30434
30441,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than or equal to -6 and less than or equal to -4?",2024-12-04 15:30:00+00,30434
30442,"Will be Donald Trump's net favorability rating on December 27, 2024 be less than -6?",2024-12-04 15:30:00+00,30434
,"Will Xi Jinping continue leading China through January 1, 2025?",,8533
30576,"Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?",2024-12-07 15:30:00+00,30517
30577,"Will Joe Biden sign 2 or more executive orders after Election Day and before January 1, 2025?",2024-12-07 15:30:00+00,30477
30578,"Will Joe Biden sign 3 or more executive orders after Election Day and before January 1, 2025?",2024-12-07 15:30:00+00,30477
30579,"Will Joe Biden sign 4 or more executive orders after Election Day and before January 1, 2025?",2024-12-07 15:30:00+00,30477
30583,"Will the closing price of CAC 40 be greater than 7,400 on December 31, 2024?",2024-12-07 15:30:00+00,30709
30584,"Will the closing price of CAC 40 be less than or equal to 7,400 and greater than or equal to 7,200 on December 31, 2024?",2024-12-07 15:30:00+00,30709
30585,"Will the closing price of CAC 40 be less than 7,200 on December 31, 2024?",2024-12-07 15:30:00+00,30709
30586,"Will France have a new Prime Minister before January 1, 2025?",2024-12-07 15:30:00+00,30708
,Will Elon Musk have double the wealth of the second richest person on any day before 2025?,,30651
,"Will an AI system be reported to have independently gained unauthorized access to another computer system before 2025?

",,16014
,"Will Climeworks still exist on December 31, 2024?
",,4862
,"Before Jan 1, 2025, will Ontario Premier Doug Ford call an early provincial election scheduled for 2025?",,30809
,"Will Blue Origin launch its New Glenn rocket before January 1, 2025?",,30922
,"Will the undiagnosed disease currently spreading in the Democratic Republic of the Congo be identified as Influenza before January 7, 2025?",,30870
,"Will the undiagnosed disease currently spreading in the Democratic Republic of the Congo be identified as RSV before January 7, 2025?",,30870
,"Will the undiagnosed disease currently spreading in the Democratic Republic of the Congo be identified as COVID-19 before January 7, 2025?",,30870
,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 19 million, according to the TSA?",,28860
,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than or equal to 18 million and less than or equal to 19 million, according to the TSA?",,28860
,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 17 million and less than 18 million, according to the TSA?",,28860
,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be less than or equal to 17 million, according to the TSA?",,28860
,"Will the value of China's CSI 300 stock index at market close on December 31st, 2024 be greater than or equal to 4,150?
",,30925
,"Will the value of China's CSI 300 stock index at market close on December 31st, 2024 be greater than 3,900 and less than 4,150?
",,30925
,"Will the value of China's CSI 300 stock index at market close on December 31st, 2024 be less than or equal to 3,900?
",,30925
