bot_question_id,cp_post_id,cp_question_id,title,resolution,cp_reveal_time,community_prediction,bot_team_median,pgodzinai,pro_median
29645,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than $70 billion and less than $100 billion as of January 1, 2025?",0,2024-11-09 15:30:00+00:00,0.27419647031085126,0.19999999999999996,0.19999999999999996,0.30000000000000016
29646,29608.0,29480.0,"Will Elon Musk’s net worth differ from the highest other net worth on the Forbes Real-Time Billionaires list by greater than or equal to $100 billion as of January 1, 2025?",1,2024-11-09 15:30:00+00:00,0.07221360673517696,0.19999999999999996,0.1,0.15
29940,29900.0,29741.0,Will Bitcoin dominance exceed 63.0% on any single day in November or December 2024?,0,2024-11-16 15:30:00+00:00,0.43,0.30000000000000016,0.30000000000000016,0.4
29943,29903.0,29744.0,Will the International Criminal Court issue any warrants in November or December 2024?,1,2024-11-16 15:30:00+00:00,0.19,0.17999999999999997,0.17999999999999997,0.20999999999999996
29944,29902.0,29743.0,Will Astro Bot win the Game of the Year 2024 award?,1,2024-11-16 15:30:00+00:00,0.38,0.29000000000000004,0.29000000000000004,0.45
29945,29901.0,29742.0,"Will North Korea deploy military personnel to Ukraine before January 1, 2025?",0,2024-11-16 15:30:00+00:00,0.15,0.44999999999999996,0.44999999999999996,0.14000000000000012
30194,30297.0,30101.0,Will Nvidia have the largest market cap in the world at the end of 2024?,0,2024-11-23 15:30:00+00:00,0.75,0.56,0.030000000000000138,0.72
30196,30252.0,30060.0,"Will at least one of Andrea Bocelli's concerts at Madison Square Garden on December 18 or 19, 2024 sell out?",0,2024-11-23 15:30:00+00:00,0.65,0.54,0.36,0.75
30197,30295.0,30100.0,Will Bluesky reach 30 million users before 1 January 2025?,0,2024-11-23 15:30:00+00:00,0.7,0.742,0.81,0.44999999999999996
30435,30516.0,30300.0,"Will any more of Trump's announced Cabinet picks drop out before January 1, 2025?",0,2024-12-04 15:30:00+00:00,0.72,0.19999999999999996,0.19999999999999996,0.8
30440,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than -4?",1,2024-12-04 15:30:00+00:00,0.6187329492907317,0.20999999999999996,0.20999999999999996,0.75
30441,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be greater than or equal to -6 and less than or equal to -4?",0,2024-12-04 15:30:00+00:00,0.2703026033342055,0.38,0.38,0.17999999999999994
30442,30434.0,30235.0,"Will be Donald Trump's net favorability rating on December 27, 2024 be less than -6?",0,2024-12-04 15:30:00+00:00,0.11096444737506272,0.4099999999999999,0.4099999999999999,0.07999999999999996
30576,30517.0,30301.0,"Will New Delhi experience a ""Hazardous"" air quality index for at least one third of the last two weeks of December 2024?",1,2024-12-07 15:30:00+00:00,0.5,0.30999999999999994,0.19999999999999996,0.6
30579,30477.0,30270.0,"Will Joe Biden sign 4 or more executive orders after Election Day and before January 1, 2025?",1,2024-12-07 15:30:00+00:00,0.25510245901639345,0.185,0.16000000000000003,0.1
30723,30809.0,30563.0,"Before Jan 1, 2025, will Ontario Premier Doug Ford call an early provincial election scheduled for 2025?",0,2024-12-12 15:30:00+00:00,0.79,0.06999999999999995,0.05999999999999994,0.040000000000000036
30787,30922.0,30654.0,"Will Blue Origin launch its New Glenn rocket before January 1, 2025?",0,2024-12-14 15:30:00+00:00,0.25,0.12500000000000006,0.14000000000000012,0.30000000000000016
30791,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 19 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.0798111936708924,0.26499999999999996,0.12,0.09999999999999998
30792,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than or equal to 18 million and less than or equal to 19 million, according to the TSA?",1,2024-12-14 15:30:00+00:00,0.2944184317995511,0.395,0.34,0.4
30793,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be greater than 17 million and less than 18 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.4338699030478743,0.42999999999999994,0.4099999999999999,0.38
30794,28860.0,28815.0,"Will US airline passenger volume be for the week of Christmas through New Years Eve 2024 be less than or equal to 17 million, according to the TSA?",0,2024-12-14 15:30:00+00:00,0.19190047148168224,0.185,0.13,0.050000000000000044
