,author,title,resolution_type,resolution_criteria,fine_print,description,publish_time,close_time,resolve_time
,johnnycaffeine,"Will the USDA-posted recall of Pork Dynasty Inc.'s Ready-to-Eat Fried Pork Skin Products issued September 27, 2024 be closed before December 31, 2024?",,"This question resolves as **Yes** if the status of the recall posted by the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) of Pork Dynasty Inc.'s Ready-to-Eat Fried Pork Skin Products is changed from Active to Closed when [this page](https://www.fsis.usda.gov/recalls-alerts/pork-dynasty-inc--recalls-ready-eat-fried-pork-skin-products-due-misbranding-and) is accessed by Metaculus after December 31, 2024. If the recall is still shown as Active when the link is accessed by Metaculus, this question resolves as **No**.",No other resolution source will be considered.,"According to the USDA: ""JPork Dynasty Inc., a Houston, Texas establishment, is recalling approximately 469 pounds of ready-to-eat fried pork skin products due to misbranding and an undeclared allergen, the U.S. Department of Agriculture’s Food Safety and Inspection Service (FSIS) announced today. The product contains soy, a known allergen, which is not declared on the product label.""",10/22/24,10/23/24,1/1/25
,johnnycaffeine,"Will North Korea test a nuclear weapon before January 1, 2025?",,"This question resolves as **Yes** if North Korea tests a nuclear weapon, according to [credible source](https://www.metaculus.com/help/faq/#definitions) reporting such as the [International Monitoring System’s ](https://www.ctbto.org/our-work/detecting-nuclear-tests) and Wikipedia's [List of nuclear weapons tests of North Korea](https://en.wikipedia.org/wiki/List_of_nuclear_weapons_tests_of_North_Korea).",,"According to Wikipedia, ""North Korea has conducted six nuclear tests, in 2006, 2009, 2013, twice in 2016, and in 2017.""",10/22/24,10/23/24,1/1/25
,johnnycaffeine,"Will Travis Kelce and Taylor Swift officially announce their engagement before January 1, 2025?",,"This question resolves as **Yes** if according to credible sources Travis Kelce and Taylor Swift are publicly known to be engaged to each other. If there are no such reports, this question resolves as **No**.",,The Mirror (UK): [Fans think Taylor Swift and Travis Kelce are engaged after spotting string of clues](https://www.mirror.co.uk/3am/celebrity-news/fans-think-taylor-swift-travis-33819671),10/22/24,10/23/24,1/1/25
,johnnycaffeine,Will the Schwab Trading Activity Index be lower for October 2024 than it was for September 2024?,,"This question resolves as **Yes** if the Schwab Trading Activity Index (STAX) is lower than 47.10 for the month of October 2024, at [this resolution link](https://www.schwab.com/investment-research/stax/view-schwab-trading-activity-index), when accessed by Metaculus. If it shows a value that is greater than or equal to 47.10, this question resolves as **No**.","In case of delays in updating the resolution source, resolution will wait until it has been updated. If on or after January 1, 2024, it has still not updated for the time in question, this question will be **annulled**. ","[Schwab Trading Activity Index™: September Score Slides by Biggest Margin Since June ’22](https://www.businesswire.com/news/home/20241007024576/en/): ""The Schwab Trading Activity Index™ (STAX) decreased to 47.10 in September, down from its score of 53.16 in August. The only index of its kind, the STAX is a proprietary, behavior-based index that analyzes retail investor stock positions and trading activity from Schwab’s millions of client accounts to illuminate what investors were actually doing and how they were positioned in the markets each month.""",10/22/24,10/23/24,11/7/24
,johnnycaffeine,"At the end of 2024, will Wikipedia still list Brazil as ""currently"" blocking access to Twitter/X?",,"This question resolves as **Yes** if Wikipedia still lists Twitter (also known as X) as currently blocking Brazil at [this link](https://en.wikipedia.org/wiki/Censorship_of_Twitter#Current) when accessed by Metaculus on or around January 1, 2025. If the Wikipedia article does not list Twitter/X as currently being blocked, this question resolves as **No**.","No other resolution source will be considered. The question will resolve as soon as the page is accessed by Metaculus Admins on the resolution date. However, if there are issues accessing the page, then resolution will wait up to January 7, 2025, at which point if Metaculus has still not been able to access the resolution source, this question will be **annulled**. Admins will also use their discretion if there appears to be an [edit war](https://en.wikipedia.org/wiki/Wikipedia:Edit_warring) or lack of Wikipedia [consensus](https://en.wikipedia.org/wiki/Wikipedia:Consensus) and may annul the question in such a case; however, Admins will also strive to resolve the question as definitively Yes or No, and such an edge case should be considered a rare outcome. ","According to the resolution source, ""On August 30, 2024, the Brazilian Supreme Federal Court judge Alexandre de Moraes issued an order requiring Brazillian ISPs to block Twitter due to Elon Musk's refusal to appoint a legal representative of Twitter in Brazil, which was required by Brazilian law.[85] The ban itself came from previous conflicts between Musk and Moraes after Twitter under Musk revoked the suspension of accounts that were previously requested by the government to be blocked for misinformation regarding the 2023 Brazilian Congress attack. Moraes imposed a fine of R$50,000 (US$9,000) per day for anyone in Brazil who accessed Twitter using a virtual private network (VPN), and initially requested the removal of VPN apps from Apple's App Store and Google's Play Store.[86] The President of Brazil, Luiz Inácio Lula da Silva, supported the ban of Twitter in the country.[87] On September 18, 2024, Twitter began serving its content through Cloudflare for requests originating from Brazil in an attempt to circumvent the ban.[88][89]""",10/23/24,10/24/24,1/1/25
,johnnycaffeine,"Will Intel get dropped from the Dow Jones Industrial Average before January 1, 2025?",,"This question resolves as Yes upon any official announcement or confirmation that Intel Corporation will no longer be a component of the Dow Jones Industrial Average (DJIA) or credible source reporting either on the official announcement or that Intel has been or will be removed from the index.

If no such announcement or reporting occurs before January 1, 2025, this question resolves as No.","Although removals from the index are generally effective immediately in order to forestall frontrunning, this is not a requirement for this question. All that is required is for there to be an announcement or confirmation before January 1, 2025 that Intel will be removed from the DJIA at any point in time. Therefore this question will resolve based on the announcement or confirmation, not on the actual removal date, if that removal date is after December 31, 2024.","Reuters: [Intel's Dow status under threat as struggling chipmaker's shares plunge
](https://www.reuters.com/technology/intels-dow-status-under-threat-struggling-chipmakers-shares-plunge-2024-09-03/)",10/23/24,10/24/24,1/1/25
,johnnycaffeine,Will the New York Yankees win the 2024 World Series in baseball in exactly 4 games?,,"This question resolves as **Yes** if the New York Yankees win the 2024 World Series in exactly 4 games played  in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both won the World Series and done it in exactly 4 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees win the 2024 World Series in baseball in exactly 5 games?,,"This question resolves as **Yes** if the New York Yankees win the 2024 World Series in exactly 5 games played  in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games, lengthened to more games (as happened [in 1919](https://en.wikipedia.org/wiki/1919_World_Series) or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both won the World Series and done it in exactly 5 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees win the 2024 World Series in baseball in exactly 6 games?,,"This question resolves as **Yes** if the New York Yankees win the 2024 World Series in exactly 6 games played in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games, lengthened to more games (as happened [in 1919](https://en.wikipedia.org/wiki/1919_World_Series) or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both won the World Series and done it in exactly 6 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees win the 2024 World Series in baseball in exactly 7 games?,,"This question resolves as **Yes** if the New York Yankees win the 2024 World Series in exactly 7 games played in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games, lengthened to more games (as happened [in 1919](https://en.wikipedia.org/wiki/1919_World_Series) or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both won the World Series and done it in exactly 7 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees lose the 2024 World Series in baseball in exactly 4 games?,,"This question resolves as **Yes** if the New York Yankees lose the 2024 World Series in exactly 4 games played  in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both lost the World Series and done it in exactly 4 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees lose the 2024 World Series in baseball in exactly 5 games?,,"This question resolves as **Yes** if the New York Yankees lose the 2024 World Series in exactly 5 games played  in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games, lengthened to more games (as happened [in 1919](https://en.wikipedia.org/wiki/1919_World_Series) or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both lost the World Series and done it in exactly 5 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
,johnnycaffeine,Will the New York Yankees lose the 2024 World Series in baseball in exactly 6 games?,,"This question resolves as **Yes** if the New York Yankees lose the 2024 World Series in exactly 6 games played in the Series, as reported by [credible sources](https://www.metaculus.com/faq/#definitions) such as [Major League Baseball](https://www.mlb.com/news/2024-mlb-playoff-and-world-series-schedule). If this does not occur, this question resolves as **No**.","The World Series is a best-of-7 series, and in the event of an edge case such as the Series being shortened to fewer games, lengthened to more games (as happened [in 1919](https://en.wikipedia.org/wiki/1919_World_Series) or the Series being canceled (as happened [in 1994](https://en.wikipedia.org/wiki/1994_World_Series) due to a player strike) or excessively delayed, this question will resolve as **No** if the Yankees have not both lost the World Series and done it in exactly 6 games, before January 1, 2025. ","The 2024 baseball World Series is scheduled to begin on October 25, 2024, between the  NY Yankees, who are the American League champions, and the LA Dodgers, who are the champions of the National League.",10/23/24,10/24/24,11/3/24
